ISO Code;Country Name;Holiday Date;Holiday ID;Holiday Name;Holiday Observance;Calendar;Rule Last Updated
GE-AB;Abkhazia;46023;30208;New Year;;;41274
GE-AB;Abkhazia;46024;30209;New Year Holiday;;;41274
GE-AB;Abkhazia;46029;30210;Orthodox Christmas;;Orthodox;41274
GE-AB;Abkhazia;46036;30211;Azhirnikhua (Day of world creation);;;42366
GE-AB;Abkhazia;46089;30212;International Women's Day;;;42366
GE-AB;Abkhazia;46090;30212;Women's Day Holiday;;;42366
GE-AB;Abkhazia;46124;31508;Orthodox Easter;;Orth. Easter;42366
GE-AB;Abkhazia;46125;33396;Orthodox Easter Monday;;Orth. Easter;44162
GE-AB;Abkhazia;46143;31507;May Day;;;43076
GE-AB;Abkhazia;46151;30213;Victory Day;;;42366
GE-AB;Abkhazia;46153;30213;Victory Day Holiday;;;42366
GE-AB;Abkhazia;46165;30668;Day of the Holy Apostle Simon the Zealot;;;42878
GE-AB;Abkhazia;46167;30668;Simon the Zealot Holiday;;;42878
GE-AB;Abkhazia;46169;30216;Kurbanykhua / Eil al-Adha (Feast of Sacrifice);;Muslim;44553
GE-AB;Abkhazia;46260;30217;Anniversary of Official Recognition;;;43076
GE-AB;Abkhazia;46262;34220;Assumption of the Blessed Virgin Mary;;Orthodox;44162
GE-AB;Abkhazia;46295;30214;Day of Liberation of the Republic of Abkhazia;;;42366
GE-AB;Abkhazia;46352;30215;Constitution Day of the Republic of Abkhazia;;;42366
AF;Afghanistan;46068;24865;Liberation Day;;Persian;39779
AF;Afghanistan;46071;21171;Start of Ramadan (Awal Ramadan);;Muslim;38560
AF;Afghanistan;46101;21170;Eid al Fitr (End of Ramadan);;Muslim;44685
AF;Afghanistan;46102;21170;Eid al Fitr Holiday;;Muslim;44685
AF;Afghanistan;46103;21170;Eid al Fitr Holiday;;Muslim;44685
AF;Afghanistan;46140;21165;Victory Day;;Persian;39628
AF;Afghanistan;46143;30972;International Workers' Day;;;42119
AF;Afghanistan;46168;28410;Arafat Day;;Muslim;45463
AF;Afghanistan;46169;21167;Eid al Adha (Feast of Sacrifice);;Muslim;45463
AF;Afghanistan;46170;21167;Eid al Adha Holiday;;Muslim;45463
AF;Afghanistan;46171;21167;Eid al Adha Holiday;;Muslim;45463
AF;Afghanistan;46249;35420;Anniversary of the Return to Power;;Persian;45515
AF;Afghanistan;46253;21166;Independence Day (Jeshen);;Persian;43695
AF;Afghanistan;46259;21169;The Prophet's Birthday (Mawleed al-Nabi);;Muslim;44220
AF;Afghanistan;46265;35709;Anniversary Of The Withdrawal Of The Last American Soldier;;Persian;45522
AX;Åland;46023;21632;New Year's Day;;;42476
AX;Åland;46028;21633;Epiphany;;;38350
AX;Åland;46115;21634;Good Friday;;Easter;38350
AX;Åland;46117;21635;Easter;;Easter;38350
AX;Åland;46118;21636;Easter Monday;;Easter;38350
AX;Åland;46143;21637;Vappu (May Day);;;38536
AX;Åland;46156;21638;Ascension Day;;Easter;38350
AX;Åland;46166;21639;Whit Sunday (Pentecost);;Easter;38350
AX;Åland;46182;21647;Självstyrelsedagen (Åland Self-Governing Day);;;38350
AX;Åland;46192;21640;Midsummer's Eve;Banks/Other;;38895
AX;Åland;46193;21641;Midsummer's Day;;;38350
AX;Åland;46326;21642;All Saints' Day;;;38350
AX;Åland;46362;21643;Independence Day;;;38350
AX;Åland;46380;21644;Christmas Eve;Banks/Other;;38895
AX;Åland;46381;21645;Christmas Day;;;38350
AX;Åland;46382;21646;Second Day of Christmas;;;38536
AL;Albania;46023;29087;New Year's Day (Dita e Vitit të Ri);;;42097
AL;Albania;46024;29088;New Year Holiday;;;42097
AL;Albania;46095;31210;Summer Day (Dita e Verës);;;42097
AL;Albania;46097;31210;Summer Day Holiday;;;42097
AL;Albania;46101;29092;Lesser Bajram / End of Ramadan (Bajramit të Madh);;Muslim;43401
AL;Albania;46103;29090;Nevruz (Dita e Nevruzit);;;42097
AL;Albania;46104;29090;Nevruz Holiday;;;42097
AL;Albania;46117;26093;Catholic Easter (Pashkës Katolike);;Easter;40422
AL;Albania;46118;22145;Catholic Easter Monday;;Easter;42097
AL;Albania;46124;26094;Orthodox Easter (Pashkës Ortodokse);;Orth. Easter;40422
AL;Albania;46125;20874;Orthodox Easter Monday;;Orth. Easter;42097
AL;Albania;46143;29091;International Labor Day (Dita Ndërkombëtare e Punës);;;42097
AL;Albania;46169;29094;Greater Bajram / Feast of Sacrifice (Kurban Bajramit);;Muslim;43401
AL;Albania;46270;33436;Day of Mother Teresa's Canonization (Dita e Lumturimit të Nënë Terezës);;;43129
AL;Albania;46272;33436;Mother Teresa's Canonization Holiday;;;43129
AL;Albania;46348;35851;Day of the Alphabet;;;45317
AL;Albania;46349;35851;Alphabet Day Holiday;;;45317
AL;Albania;46354;29095;Independence Day (Dita e Pavarësisë);;;42097
AL;Albania;46355;29096;Liberation Day (Dita e Çlirimit);;;42097
AL;Albania;46356;29095;Independence Day Holiday;;;42097
AL;Albania;46357;29096;Liberation Day Holiday;;;42097
AL;Albania;46364;29200;National Youth Day (Dita Kombëtare e Rinisë);;;42097
AL;Albania;46381;29097;Christmas Day (Krishtlindja);;;42097
DZ;Algeria;46023;21121;New Year's Day;;;38230
DZ;Algeria;46034;33418;Amenzu n Yennayer (Amazigh New Year);;;43838
DZ;Algeria;46101;21126;Eid al Fitr (End of Ramadan);;Muslim;45746
DZ;Algeria;46102;21126;Eid al Fitr Holiday;;Muslim;45746
DZ;Algeria;46103;35696;Eid al Fitr Holiday;;Muslim;45746
DZ;Algeria;46143;21127;Labour Day;;;38230
DZ;Algeria;46169;21122;Eid al Adha (Feast of Sacrifice);;Muslim;44743
DZ;Algeria;46170;21122;Eid al Adha Holiday;;Muslim;44743
DZ;Algeria;46189;21125;Awal Mouharem (Islamic New Year);;Muslim;44417
DZ;Algeria;46198;21123;Achoura (Ashura);;Muslim;45840
DZ;Algeria;46208;21129;Independence Day;;;38230
DZ;Algeria;46259;21124;Mawlid En Nabaoui Echarif (The Prophet's Birthday);;Muslim;45901
DZ;Algeria;46327;21130;Revolution Day;;;38230
AS;American Samoa;46023;23188;New Year's Day;;;42266
AS;American Samoa;46024;36502;Public Sector Holiday;Government;2026 Only;46026
AS;American Samoa;46041;23189;Martin Luther King Jr Day;;;38580
AS;American Samoa;46069;23190;Presidents' Day;;;38580
AS;American Samoa;46115;23200;Good Friday;;Easter;38931
AS;American Samoa;46129;23199;American Samoa Flag Day;;;42266
AS;American Samoa;46167;23191;Memorial Day;;;38580
AS;American Samoa;46192;34839;Juneteenth Independence Day;Government;;44476
AS;American Samoa;46206;23192;Independence Day Holiday;;;42266
AS;American Samoa;46207;23192;Independence Day;;;42266
AS;American Samoa;46219;24568;Manu'a Cession Day;Government;;42266
